Md,Dd,Ld,Rd,Ad,Mr,Dr,Lr,Rr,Ar,R
0,0,2,0,1,0,0,0,2,0,10475
0,0,2,0,1,0,0,0,2,0.5,9532
0,0,2,0,1,0,0,0,2,1,8775
0,1,1,0,1,0,0,1,1,0,12178
0,0,2,0,1,0,0,1,1,0.5,8258
2,0,0,0,1,0,0,1,1,1,7428
0,0,2,0,1,0,0,2,0,0,10702
0,0,2,0,1,0,0,2,0,0.5,3699
0,0,2,0,1,0,0,2,0,1,2996
0,1,1,0,1,0,1,0,1,0,11511
0,2,0,0,1,0,1,0,1,0.5,9691
0,2,0,0,1,0,1,0,1,1,9482
0,1,1,0,1,0,1,1,0,0,10931
0,0,2,0,1,0,1,1,0,0.5,3574
0,0,2,0,1,0,1,1,0,1,3122
1,0,1,0,1,0,2,0,0,0,10527
0,0,2,0,1,0,2,0,0,0.5,4220
0,0,2,0,1,0,2,0,0,1,3745
0,1,1,0,1,1,0,0,1,0,10690
1,0,1,0,1,1,0,0,1,0.5,8615
1,0,1,0,1,1,0,0,1,1,7594
1,0,1,0,1,1,1,0,0,0,9595
0,0,2,0,1,1,1,0,0,0.5,3559
0,0,2,0,1,1,1,0,0,1,3271
1,1,0,0,1,2,0,0,0,0,11414
0,0,2,0,1,2,0,0,0,0.5,3320
0,0,2,0,1,2,0,0,0,1,3128
2,0,0,0,1,1,0,1,0,0,11110
0,0,2,0,1,1,0,1,0,0.5,3068
0,0,2,0,1,1,0,1,0,1,2497
2,0,1,0,1,0,0,0,3,0,11414
0,1,2,0,1,0,0,0,3,0.33,15971
1,2,0,0,1,0,0,0,3,1,11078
0,1,2,0,1,0,0,1,2,0,14931
0,1,2,0,1,0,0,1,2,0.33,15935
1,2,0,0,1,0,0,1,2,1,10512
1,2,0,0,1,0,0,2,1,0,18903
1,2,0,0,1,0,0,2,1,0.33,15594
1,2,0,0,1,0,0,2,1,1,10138
2,1,0,0,1,0,0,3,0,0,14326
1,0,2,0,1,0,0,3,0,0.33,10376
1,2,0,0,1,0,0,3,0,1,4842
0,3,0,0,1,0,1,0,2,0,14159
0,1,2,0,1,0,1,0,2,0.33,18059
0,3,0,0,1,0,1,0,2,1,13178
0,1,2,0,1,0,1,1,1,0,18503
0,3,0,0,1,0,1,1,1,0.33,15209
0,3,0,0,1,0,1,1,1,1,11444
0,1,2,0,1,0,1,2,0,0,16487
1,0,2,0,1,0,1,2,0,0.33,10011
0,3,0,0,1,0,1,2,0,1,4788
0,3,0,0,1,0,2,0,1,0,14186
1,0,2,0,1,0,2,0,1,0.33,15663
0,3,0,0,1,0,2,0,1,1,11689
1,1,1,0,1,0,2,1,0,0,16075
1,0,2,0,1,0,2,1,0,0.33,10659
0,3,0,0,1,0,2,1,0,1,4558
1,0,2,0,1,0,3,0,0,0,19691
1,0,2,0,1,0,3,0,0,0.33,10733
0,3,0,0,1,0,3,0,0,1,5576
1,1,1,0,1,1,0,0,2,0,10973
0,1,2,0,1,1,0,0,2,0.33,15303
2,0,1,0,1,1,0,0,2,1,10084
0,1,2,0,1,1,0,1,1,0,16405
2,0,1,0,1,1,0,1,1,0.33,14680
2,0,1,0,1,1,0,1,1,1,7544
1,2,0,0,1,1,0,2,0,0,17999
2,0,1,0,1,1,0,2,0,0.33,9596
0,3,0,0,1,1,0,2,0,1,4651
2,0,1,0,1,1,1,0,1,0,14902
2,0,1,0,1,1,1,0,1,0.33,15277
0,3,0,0,1,1,1,0,1,1,10953
1,1,1,0,1,1,1,1,0,0,14278
2,0,1,0,1,1,1,1,0,0.33,10357
0,3,0,0,1,1,1,1,0,1,4096
1,0,1,1,1,1,2,0,0,0,13694
2,0,1,0,1,1,2,0,0,0.33,10257
0,3,0,0,1,1,2,0,0,1,3777
2,1,0,0,1,2,0,0,1,0,14452
2,0,1,0,1,2,0,0,1,0.33,13429
1,2,0,0,1,2,0,0,1,1,8362
2,1,0,0,1,2,0,1,0,0,14334
0,1,2,0,1,2,0,1,0,0.33,8801
0,3,0,0,1,2,0,1,0,1,3856
2,1,0,0,1,2,1,0,0,0,13199
0,3,0,0,1,2,1,0,0,0.33,8718
0,3,0,0,1,2,1,0,0,1,3681
1,2,0,0,1,3,0,0,0,0,17720
2,1,0,0,1,3,0,0,0,0.33,10480
2,1,0,0,1,3,0,0,0,1,4427
